anonymised_donor_id,age_group,country,donation_amount,donation_date,payment_method,newsletter_opt_in,referral_channel,sector,campaign,donation_year,donation_month,donation_day,gender_Female,gender_Male,donation_type_Monthly,donation_amount_category
dd9447d55a3afce6a43ac50cb5a36c810f4c780391714cc51ee3047472581cc9,50-65,Canada,166.13,2023-12-28,Credit Card,False,Social Media,Retail,Marine Mammal Defense Mission,2023,12,3,0,1,1,High
d3aaaaeaafb7ed713f4612721b6bc0643b02ccc1cc58ea4c1783e157ba7c47b7,66-80,Germany,2.65,2024-04-04,Credit Card,True,Website,Hospitality,Defend the Great Apes,2024,4,3,0,1,0,Low
2717c73016d44b29767519c4d0e63b6d2e60f1ff69112e8cc489df244eb9b35d,30-49,USA,2.57,2023-09-06,Bank Transfer,False,Online advertising,Agriculture,Reforest the Sanctuary,2023,9,2,0,1,0,Low
7d1d89120b2441c22e34c3b80f54dc0545d2bea0911eb5e34841cd1938e4ea1d,18-29,South Africa,18.16,2025-06-15,Credit Card,False,Website,Law,Marine Mammal Defense Mission,2025,6,6,1,0,0,Low
056a762bed7bcd17796f774b6dcbe219c943a57ae42306a86a661ed9de351b2a,66-80,New Zealand,9.68,2024-10-28,Bank Transfer,False,Newsletter,Hospitality,Rescue Orphaned Gorillas,2024,10,0,0,1,0,Low
889b3864a31d8ed2bd1f170b1d0b9e37b99e5aee3cabb5fa558416e5a3b35aae,50-65,UK,57.12,2024-05-14,Cheque,True,Word of mouth,Consulting,Rescue Orphaned Gorillas,2024,5,1,0,1,0,Medium
bbce6b63820f1727b83cd62012a9c16c1f06bd7e51841f7dc7489eb0ffe78e9a,50-65,South Africa,57.69,2025-04-15,Paypal,True,Newsletter,Arts & Culture,Defend the Great Apes,2025,4,1,1,0,0,Medium
b6e9075a11f5d376b4d33f86eefed92f311c86f6977b7cb14071dd04c36a7d81,18-29,UK,4.26,2024-12-26,Credit Card,True,Newsletter,Hospitality,Wildlife Rescue Van Drive,2024,12,3,0,1,0,Low
d3a85a75f4f2441843a8e26516af62b19516cfb3c5fd388cacd80fae4e3ca9f0,30-49,USA,22.06,2023-07-02,Bank Transfer,False,Word of mouth,Agriculture,Reforest the Sanctuary,2023,7,6,1,0,0,Low
e23ff59456b32580abad1cd88d6a4c19870bc889982e7491c8767e6623804f88,18-29,Netherlands,34.24,2025-03-20,Cheque,True,Word of mouth,Healthcare,Reforest the Sanctuary,2025,3,3,0,1,1,Medium
396a4e19eb8b875eb362441199a36abdfb0740150c6242c79151a8f5d40a3127,30-49,Netherlands,52.6,2024-12-28,Credit Card,True,Newsletter,Law,Habitat for Hope,2024,12,5,1,0,0,Medium
69939c1d6c6c5c6e7f29d01797013199d9bda62bfcfe9f98b5e69596f40a4068,50-65,UK,189.5,2024-04-22,Cheque,False,Website,Government,Marine Mammal Defense Mission,2024,4,0,0,1,1,High
7e65e594d59e7be31c095f19970d948790990a5ded7f6860bd5f0c6c33a020ab,66-80,UK,9.82,2025-06-14,Bank Transfer,True,Newsletter,Pharmaceuticals,Wildlife Rescue Van Drive,2025,6,5,0,1,0,Low
021dc22d3d644de1e5cc66463102c6d2b5503d071c235fdeac83bd3ca041db14,50-65,USA,54.55,2024-02-20,Bank Transfer,True,Word of mouth,Pharmaceuticals,Defend the Great Apes,2024,2,1,0,1,0,Medium
8de000dedaf67cf42f1e49a4bc8c1e90dbdd039db21263f5bf54a246f1d668f6,30-49,France,63.5,2023-12-02,Credit Card,True,Online advertising,Logistics,Marine Mammal Defense Mission,2023,12,5,0,1,1,Medium
c67fee2d8e7a4a777e15429e4b7c8392f885211e42e9b6f89b89df3b58bf1fe1,50-65,Finland,91.99,2023-11-21,Paypal,True,Social Media,Law,Rescue Orphaned Gorillas,2023,11,1,1,0,0,Medium
1a05ce2158b438a712e6390e189bd061edc42c848d6c721d9c1399c235a489ef,30-49,UK,46.82,2025-01-28,Cheque,False,Website,Arts & Culture,Rescue Orphaned Gorillas,2025,1,1,0,1,0,Medium
ffbf805990617edb41e4f4c8132c3d812cc8af33edc855f621610a922d53f410,18-29,UK,5.55,2024-12-01,Cheque,True,Newsletter,Consulting,Defend the Great Apes,2024,12,6,0,1,0,Low
6f578405263f70354f15ccdf0854833e19302803a65dd00bf88d0e9c18cf57c1,50-65,New Zealand,143.57,2025-03-08,Bank Transfer,True,Social Media,Hospitality,Reforest the Sanctuary,2025,3,5,0,1,0,High
1e7dd3a1a06ea8416e7e31a6b97add021591574a2415f546cd70a10c776868fa,30-49,Australia,6.61,2023-12-17,Bank Transfer,False,Word of mouth,Energy,Marine Mammal Defense Mission,2023,12,6,1,0,0,Low
ac20f0ec9835b515c04cd062daaf6b85cae89b7680dcaf5c95145ddc6b2b4ab4,50-65,USA,134.43,2025-06-17,Paypal,False,Online advertising,Consulting,Rescue Orphaned Gorillas,2025,6,1,1,0,1,High
29a882d9e7a74c7617657f12e90039444389ee12a6e81347627098b703cbea7f,66-80,France,40.45,2024-06-07,Bank Transfer,False,Word of mouth,Nonprofit,Jungle Education Project,2024,6,4,1,0,0,Medium
35595ab297a33f356eb721dd75f7fbb2699b716fa1bf70f3d6be2f9e444bb778,30-49,Australia,2.41,2023-12-28,Cheque,False,Newsletter,Logistics,Reforest the Sanctuary,2023,12,3,1,0,0,Low
bf2de2365877e277e7c3adaf7109501b7d260744e3e53e70fba7cf7cb7862ae6,30-49,Finland,10.6,2024-07-28,Paypal,True,Word of mouth,Nonprofit,Habitat for Hope,2024,7,6,1,0,0,Low
9345192520398b3ce5388668319551cb31ab7b21f90117148c6e75d538bbcc0b,66-80,India,43.26,2024-07-18,Credit Card,False,Website,Hospitality,Rescue Orphaned Gorillas,2024,7,3,0,1,0,Medium
1386864211a0f05be4eaad25dc3822fda50afe801b85be4d58a0428d7279bbc2,50-65,Australia,10.04,2023-10-11,Credit Card,True,Newsletter,Government,Wildlife Rescue Van Drive,2023,10,2,1,0,1,Low
6283fce0c75430502e1acc72ea66fb4c847f6b36e2a5e77eacd76acd71670da8,50-65,France,115.01,2023-09-13,Credit Card,False,Website,Healthcare,Jungle Education Project,2023,9,2,1,0,1,High
dba775c07f0bada82262c2c1ce3290b049f62eef2108c725eac4578aa3eb7bf5,66-80,France,9.15,2024-08-17,Paypal,True,Social Media,Law,Habitat for Hope,2024,8,5,1,0,0,Low
58d1f5d16ad1a2a41ad3d849d330c78ed035b83e7c622e27c608007920fe4e53,30-49,Germany,38.15,2024-04-02,Paypal,False,Local event,Pharmaceuticals,Wildlife Rescue Van Drive,2024,4,1,1,0,0,Medium
0a7335264690ad8e4d1feaff4c788a1406afa113e793aea4be5823b94c79a904,50-65,USA,24.13,2024-05-18,Cheque,True,Online advertising,Science & Research,Defend the Great Apes,2024,5,5,0,1,0,Low
e3b2e7e9b149bfd6f28be5452acf9e14764c797fdc63794d7d61aeb91638301f,50-65,Netherlands,35.08,2025-03-21,Paypal,False,Local event,Finance/Banking,Marine Mammal Defense Mission,2025,3,4,0,1,1,Medium
15fbbf04f420a6197533e2514931fe389a3b3903099e562a5dfa81e8a3011987,66-80,Netherlands,78.05,2025-06-08,Paypal,False,Newsletter,Healthcare,Rescue Orphaned Gorillas,2025,6,6,0,1,0,Medium
d9bad1a72ed18cd05edb20994d5d7b64267eff6840fd9e5b912e4d1e6faf5055,50-65,Australia,3.67,2025-05-04,Bank Transfer,True,Local event,Others,Jungle Education Project,2025,5,6,0,1,0,Low
5dd4c0e6f2c727e864107c2db157db32fc32acb43315dacc93a29c23b83ace20,30-49,Netherlands,9.51,2024-09-02,Cheque,False,Online advertising,Retail,Rescue Orphaned Gorillas,2024,9,0,0,0,0,Low
40c5dafc623eebc475ae8986035b527addca00f467af8fdc6aef9e53fd8d5f64,50-65,Canada,47.23,2025-04-09,Cheque,False,Local event,Hospitality,Marine Mammal Defense Mission,2025,4,2,0,1,0,Medium
cc7f66c64b1d9b44720faf6c0738a4fcfc347e2b34ad4d64cd5312a74f67fe1d,30-49,USA,23.54,2025-01-01,Cheque,True,Local event,Finance/Banking,Wildlife Rescue Van Drive,2025,1,2,1,0,0,Low
214493efc3f0071ad02cac936b5b6c060862e57c4e5f1a8d5857ca222306ae5b,18-29,Germany,4.78,2023-06-25,Bank Transfer,False,Newsletter,Government,Marine Mammal Defense Mission,2023,6,6,1,0,0,Low
a7008fa1a7f8a742166f35c1cfd1a574b2ef1ad14132d8e2519ce5d2fb2ba606,66-80,Canada,36.78,2024-08-16,Credit Card,False,Local event,Science & Research,Wildlife Rescue Van Drive,2024,8,4,0,1,0,Medium
112438ff9ed4e711a0cb5ab6fc780bdf81a0f3ae5987543d0e910bdde3ee9d87,50-65,Australia,9.04,2025-03-08,Bank Transfer,False,Word of mouth,Healthcare,Wildlife Rescue Van Drive,2025,3,5,1,0,0,Low
0d146704c42258e9b3528f87b884af12b577627e39d7d0b3f1f42e8ca1eebfc9,18-29,UK,16.97,2025-03-25,Paypal,True,Social Media,Construction,Marine Mammal Defense Mission,2025,3,1,0,1,1,Low
893bcce6cfaafdc625c7aef8c379db221ef41d1876473719f4d1ff832b07c3f4,50-65,Netherlands,237.83,2025-05-31,Bank Transfer,False,Online advertising,Others,Habitat for Hope,2025,5,5,1,0,1,High
30cb0b930b140c4f78fea8a7f3080a78229c0dee8f9973311f1863950f1d100e,30-49,UK,95.8,2025-04-28,Bank Transfer,False,Online advertising,Law,Jungle Education Project,2025,4,0,1,0,1,Medium
d0e88bac6f0bd8346b0623fb579a91195a655208d1439c132d4bfb44a75c03f7,30-49,USA,125.56,2023-09-05,Cheque,True,Newsletter,Others,Rescue Orphaned Gorillas,2023,9,1,0,1,1,High
7480769bc43172c864ed64ec40d156b44f54179cdae349d6f5aa63aa031e0e91,30-49,UK,3.77,2024-01-27,Cheque,False,Word of mouth,Others,Jungle Education Project,2024,1,5,0,1,0,Low
cc05fa58a04d30c7c80dcbaa080144f8c20993c522c59a5185a712f2d04fa273,30-49,Australia,21.39,2025-03-10,Bank Transfer,False,Word of mouth,Law,Habitat for Hope,2025,3,0,1,0,1,Low
2f8da8eecb795a0ffb5659e188a38a881cd6f0d0badeaf5fa7aba74d8aeb679d,50-65,Canada,26.51,2025-05-04,Cheque,True,Website,Energy,Defend the Great Apes,2025,5,6,0,1,0,Medium
644f81c3a92afcf26aecd38a4e65e97e6f023f95de6cc0bd0dad96333790a014,18-29,USA,6.0,2023-09-05,Bank Transfer,True,Social Media,Real Estate,Habitat for Hope,2023,9,1,0,1,1,Low
afa838c9b9e5e733ce8d4592c559bc69159af497b7b0749a9bf92defdc01f4f5,30-49,Germany,42.26,2024-03-25,Paypal,True,Online advertising,Nonprofit,Defend the Great Apes,2024,3,0,0,1,0,Medium
325f2f19bb5260fceda7511408fa1eb860e4ff78560093b58faffa7c2711182a,50-65,New Zealand,15.19,2024-07-15,Bank Transfer,True,Website,Media & Communication,Rescue Orphaned Gorillas,2024,7,0,0,1,1,Low
c3caddcb38a234b9b88f3216caf30ba1d92f42988832c84c79bf2e67eb108262,30-49,South Africa,18.88,2024-10-15,Paypal,True,Online advertising,Energy,Wildlife Rescue Van Drive,2024,10,1,0,0,0,Low
7d795e43ae4d4ca2e9b851ac5a300f6df201d6af890b5fad7a667fe9891e9ad1,66-80,Finland,42.37,2024-01-30,Bank Transfer,True,Social Media,Science & Research,Jungle Education Project,2024,1,1,0,1,1,Medium
f08b2f68c99fe4cf6fbf915ab45571fcd5d5692dd91127a88d561dc759136613,66-80,France,5.7,2025-05-05,Paypal,False,Website,Technology,Wildlife Rescue Van Drive,2025,5,0,0,1,0,Low
100fcee69e56e1dee9c58677baee3650778ec4ed1e7af988eb49bb0253197a55,30-49,USA,111.72,2023-06-18,Bank Transfer,True,Local event,Construction,Jungle Education Project,2023,6,6,0,1,1,High
80b85457d42371ec2bb1d6d61ffe0d321867267091ac973f4eacac42d0352351,30-49,USA,59.75,2024-05-06,Paypal,True,Website,Hospitality,Defend the Great Apes,2024,5,0,0,1,0,Medium
f3ad40240e1a1e2e22407dc74cd4496e16db614c69f68f02878c81eeaf599d48,50-65,USA,89.13,2023-08-18,Credit Card,False,Word of mouth,Pharmaceuticals,Wildlife Rescue Van Drive,2023,8,4,0,1,0,Medium
0b8d54efc994a316b136e659ff8d07384911242f2add29218886a64798ebb453,30-49,UK,12.36,2024-10-21,Bank Transfer,True,Website,Hospitality,Wildlife Rescue Van Drive,2024,10,0,1,0,0,Low
0e38e7b13824982b586ec67f5ba5fc973ecb2db5953eb719303c2773e1afd76e,30-49,Brazil,14.86,2025-02-28,Credit Card,False,Local event,Technology,Reforest the Sanctuary,2025,2,4,0,1,0,Low
0817c466b117c4559f89fd24df10bd590c60355f2ea9e314b022ede706205c83,50-65,France,113.11,2024-06-13,Bank Transfer,False,Word of mouth,Others,Reforest the Sanctuary,2024,6,3,1,0,0,High
974a6912a4a7abea49164ce890ccfb6abff2bd698c231f88b6c34b9cfe0ba49c,30-49,UK,27.8,2023-09-03,Paypal,True,Newsletter,Logistics,Defend the Great Apes,2023,9,6,0,1,0,Medium
fa68c9d338c318e0a64eb8b0f09c06e6d9bd9dec777baa4d8c05bd80cdb278ca,50-65,Canada,15.87,2023-12-17,Paypal,False,Website,Real Estate,Defend the Great Apes,2023,12,6,0,1,0,Low
40eae9bfc317f7038fb7138969a66504e0a9ed389a515fbe11679a739dbe434b,50-65,UK,16.79,2024-08-26,Cheque,True,Newsletter,Consulting,Marine Mammal Defense Mission,2024,8,0,1,0,0,Low
ead1af4b3018478fe5cfebe68674238fb0f0f2fc3b69d8fc8527001edec808d9,30-49,India,115.31,2025-02-14,Credit Card,False,Social Media,Environment,Marine Mammal Defense Mission,2025,2,4,0,0,1,High
daf0052fcc6c76f0f140adeaaba5452a38595fcbd095ee864f2e75c7a77a915c,50-65,New Zealand,33.38,2023-12-15,Credit Card,False,Local event,Agriculture,Wildlife Rescue Van Drive,2023,12,4,1,0,0,Medium
bf6310dc0d5477c318d81bd4e8b7593160e7f974acece7229c2963fb09dcf9d7,30-49,France,13.74,2023-08-13,Bank Transfer,True,Newsletter,Science & Research,Habitat for Hope,2023,8,6,0,1,0,Low
f5cf6ff6584d6eb5b6238cb236965b66ca44ce4829aaeda905f4493eef2b0381,18-29,USA,12.19,2023-12-04,Paypal,True,Online advertising,Nonprofit,Habitat for Hope,2023,12,0,1,0,0,Low
fc1c63d155333cc21b3b47a3069af59e7fc364e3b8555f1d3349b8d4e7caacb5,50-65,USA,232.42,2024-04-16,Credit Card,True,Social Media,Government,Wildlife Rescue Van Drive,2024,4,1,0,1,1,High
f7caf69c68d12ceb1fe9976a4225c0faed803d59cb82ddbcaf76b99484e18ac3,18-29,Canada,39.68,2025-03-05,Bank Transfer,True,Online advertising,Science & Research,Marine Mammal Defense Mission,2025,3,2,1,0,1,Medium
724d49c2fe6ee2b722586917a07190460df4e59f44ce5ff77e36ccc4b8c49240,30-49,France,30.5,2025-03-02,Paypal,True,Online advertising,Real Estate,Rescue Orphaned Gorillas,2025,3,6,0,1,0,Medium
e822c2993b68501d0c379e32cbad20e1cd4a9afc576cc69103f9de6294eb7474,50-65,New Zealand,98.04,2023-11-26,Paypal,True,Social Media,Nonprofit,Jungle Education Project,2023,11,6,0,0,1,Medium
81b54dffeabf8ca11735af2d95563d0fb82e32c2fae06520df80072ac9e096a3,30-49,USA,192.23,2024-04-08,Credit Card,True,Word of mouth,Government,Reforest the Sanctuary,2024,4,0,0,1,1,High
682798432bff39b30272d77de6dd529cb6678156659b4166af989d867c79b467,50-65,Finland,73.26,2024-04-01,Credit Card,True,Word of mouth,Technology,Reforest the Sanctuary,2024,4,0,0,1,0,Medium
fb11ea27cf5687d1c7e26d64cda32e95f833eadd7b2e1c3dca6c29d87ca09c4b,18-29,Australia,234.63,2023-07-24,Bank Transfer,True,Word of mouth,Finance/Banking,Reforest the Sanctuary,2023,7,0,1,0,0,High
a65e6252438fca9999d47c9db7e798b4b283a26f03c7378451b36c4b6b93d660,18-29,France,29.89,2024-12-18,Paypal,False,Local event,Energy,Wildlife Rescue Van Drive,2024,12,2,1,0,0,Medium
09e936b9d8492c15d06b8ff2a05555553d448b8b80d0dbdfd5f1c23dd8614839,30-49,Brazil,20.63,2025-06-17,Credit Card,False,Newsletter,Government,Wildlife Rescue Van Drive,2025,6,1,0,1,1,Low
e225e5be30f3ae5d921cef9f6a343cf0b74293edbcb54d96bbc6e63bd7dcc45e,30-49,Germany,89.92,2025-05-12,Paypal,True,Online advertising,Technology,Reforest the Sanctuary,2025,5,0,0,1,0,Medium
4f6bd21a8c59835bfbce4b35b425e7a5e599aa691fc58266144e9b053d5ef57b,18-29,India,43.89,2024-08-03,Credit Card,False,Newsletter,Education,Marine Mammal Defense Mission,2024,8,5,0,0,1,Medium
e1dc0c0586ee6e16499c0c7594eacc84ca4f35f98b8312318199fd86672c3076,30-49,New Zealand,8.33,2024-12-15,Cheque,False,Website,Logistics,Jungle Education Project,2024,12,6,1,0,0,Low
d18c41f7d90e6e202e2002bf4e388a6ab3fb30ee0dab3500e36f0579dec5ff15,50-65,Australia,2.69,2024-02-01,Paypal,False,Newsletter,Others,Defend the Great Apes,2024,2,3,0,1,0,Low
b8a2c0f20d6f08011ce804ddf1051c5e43eb12e5abd5fcc10a83c0e2cc6a2b8d,50-65,Finland,42.06,2024-11-03,Cheque,True,Local event,Media & Communication,Defend the Great Apes,2024,11,6,0,1,0,Medium
9101817ff256b309c14498a58b576e2e630dea66a40cbad0cb2b81f0cb9961fe,30-49,New Zealand,29.14,2023-09-14,Bank Transfer,True,Word of mouth,Science & Research,Defend the Great Apes,2023,9,3,0,1,0,Medium
a4280487fcdd7303e5ba698424048f35616506afbef80e94048eb7e49b828ece,18-29,Germany,4.15,2024-02-22,Cheque,False,Social Media,Consulting,Rescue Orphaned Gorillas,2024,2,3,0,1,1,Low
60fa462b029f6f16931eecb628d0d2b7d89831f4413933ffca938e4c131c67b5,50-65,UK,21.33,2025-02-12,Credit Card,True,Website,Healthcare,Rescue Orphaned Gorillas,2025,2,2,0,1,0,Low
0c8249d6e42075f1ff7d07245b09d8ee9d251e5d8b3b8c6d8f461db13c2c35eb,18-29,Netherlands,51.56,2025-01-28,Credit Card,False,Social Media,Education,Defend the Great Apes,2025,1,1,1,0,0,Medium
bffc6314dc027b3aa44d6c19c03ee58a4e4d82206b35ad1775f233138fe5cce4,50-65,UK,24.81,2025-03-01,Cheque,False,Online advertising,Others,Rescue Orphaned Gorillas,2025,3,5,1,0,0,Low
50b72664d8e289cd3161ca7477a2cb9fe7465e663dfcf6a1a277dacea2ccc558,66-80,Canada,108.09,2024-09-06,Credit Card,False,Social Media,Government,Jungle Education Project,2024,9,4,1,0,1,High
bb8d78598c44310d796dfb32e45c3fe3be2c9a087c7c556f2b79d05c16b0040e,50-65,Canada,22.43,2025-01-21,Credit Card,False,Word of mouth,Energy,Wildlife Rescue Van Drive,2025,1,1,0,1,1,Low
334e00edc8d0ee7a8550da27544be93a5fee601ed9fdbe6b5eca14cdce716be8,50-65,UK,8.15,2025-05-11,Bank Transfer,False,Newsletter,Law,Marine Mammal Defense Mission,2025,5,6,0,1,0,Low
f698bee7377849cf00f679ffb7012f53dcd645b73814a9ba764f60f226b1c8d1,18-29,France,17.86,2024-10-02,Bank Transfer,True,Word of mouth,Real Estate,Jungle Education Project,2024,10,2,1,0,0,Low
508678c79e24587b1c690fed97b6db9ef53269cf6b7eba2a1d56825ed135f3c0,50-65,India,4.12,2024-01-27,Paypal,False,Social Media,Arts & Culture,Rescue Orphaned Gorillas,2024,1,5,1,0,0,Low
06a69718754ec744649779b94d97440dad12d210e5b697d9e58fa52684a1f2be,30-49,New Zealand,2.44,2024-02-14,Credit Card,False,Social Media,Nonprofit,Defend the Great Apes,2024,2,2,1,0,0,Low
485c1270ef2fe0768a8cf2dc80ee01f1b16751cef330e59d60832e05f4473822,66-80,France,12.76,2023-09-13,Cheque,False,Local event,Law,Marine Mammal Defense Mission,2023,9,2,0,0,0,Low
ea0c6000cb54d3e5c35e9955ad03aaf89282941e291f773aff7897949e8680f5,50-65,South Africa,15.5,2024-11-28,Bank Transfer,True,Local event,Arts & Culture,Defend the Great Apes,2024,11,3,1,0,0,Low
52be11c636bfb36a5f78771e21aef75a345e51351580ea1f792780fe6c00fd55,30-49,France,13.82,2023-10-27,Paypal,False,Local event,Real Estate,Wildlife Rescue Van Drive,2023,10,4,1,0,0,Low
e2bba16c8eea1d8f46394fbfc9d80b9e79de26e682275e01dadd7248cfe8b1d0,50-65,USA,24.25,2024-11-08,Bank Transfer,True,Website,Education,Jungle Education Project,2024,11,4,0,1,0,Low
b03bc269b16d1b5d7be8f78b3ba648330d284db48a00a041aa5d65253d2574a2,50-65,Finland,6.2,2024-05-26,Bank Transfer,False,Newsletter,Agriculture,Reforest the Sanctuary,2024,5,6,1,0,0,Low
dbe841c8dc99b88efad3f235fd15da4b46602feab549e39e3f2bd9603dff1a16,30-49,Brazil,3.42,2025-02-07,Credit Card,True,Newsletter,Law,Wildlife Rescue Van Drive,2025,2,4,1,0,0,Low
765f2ac5e5ded0a2e96dfd737898622b8f423035905973bd27123bdf30a26877,18-29,USA,64.16,2024-08-02,Credit Card,True,Newsletter,Real Estate,Habitat for Hope,2024,8,4,0,1,1,Medium
98623e8a0d170f4806549355a3291d2bdaad111c0e17858b4f1a76c53ee86a83,30-49,Netherlands,40.3,2025-01-16,Bank Transfer,False,Social Media,Science & Research,Jungle Education Project,2025,1,3,0,1,0,Medium
08b8c23a0b23d9865d5f61832195b94a8184efef4e1261273c5958c24fda5ffe,18-29,India,11.02,2025-06-10,Bank Transfer,True,Word of mouth,Others,Defend the Great Apes,2025,6,1,0,1,0,Low
8a1db722de85a333e1204e2d712a142fa4a10ff7ad96afbb124923797b04d37e,50-65,Australia,34.73,2023-11-16,Bank Transfer,True,Website,Others,Jungle Education Project,2023,11,3,1,0,0,Medium
3bc074b62adf7b057620d38066ac78dbea6783a4e7c6fdedbb67ea8efd61c793,66-80,Germany,143.32,2023-06-19,Credit Card,True,Word of mouth,Education,Reforest the Sanctuary,2023,6,0,1,0,1,High
41ae303b1c4d7b3858d501ac40833e8955f594f5f446d96f031d1469cf988916,30-49,India,20.15,2024-11-12,Credit Card,False,Word of mouth,Healthcare,Habitat for Hope,2024,11,1,0,1,0,Low
1627f37140469ff14a5c8e6de50661f018479f25e7c3b33e606827235efa59de,50-65,Australia,148.13,2024-10-13,Credit Card,True,Local event,Media & Communication,Wildlife Rescue Van Drive,2024,10,6,0,1,0,High
0a14c000728ffddedaecdf96563fc5738174ea2399f65f2de8c54e2625c56fb2,50-65,Canada,108.22,2025-02-11,Bank Transfer,True,Newsletter,Retail,Jungle Education Project,2025,2,1,0,1,1,High
144337fd32e5fa5c9f91d0b907ece33858d3632e2e8c09a29fbf9d47de286415,30-49,UK,77.88,2024-01-14,Credit Card,False,Social Media,Real Estate,Marine Mammal Defense Mission,2024,1,6,0,0,0,Medium
54567575ae829b7ed873d3e0338380575971aa12db3328403bd7bd62f7ee5d57,66-80,Germany,138.83,2024-06-12,Credit Card,False,Online advertising,Technology,Reforest the Sanctuary,2024,6,2,1,0,1,High
2a0f473dddcf9b1f0baae6004332defc27d229d74d9e62d5a16f59902c307c6f,50-65,Canada,5.72,2023-08-23,Cheque,False,Website,Environment,Jungle Education Project,2023,8,2,0,1,0,Low
c90051236cdf91e2e67e7d84b77b559ce5e5235ade68cc2e8028c4c87d075db1,50-65,USA,60.58,2024-01-01,Cheque,True,Social Media,Education,Marine Mammal Defense Mission,2024,1,0,1,0,1,Medium
6268b70fb46823bd15f9fcd77cbf20d8db9a591aa1cd5074f141100609104272,50-65,Netherlands,166.26,2023-10-28,Credit Card,False,Online advertising,Education,Reforest the Sanctuary,2023,10,5,1,0,1,High
d04090c379b04a511b697ea75bab53cec2738068d84121f0c7c249e45a3e59bc,18-29,Canada,4.98,2024-02-16,Cheque,False,Website,Education,Defend the Great Apes,2024,2,4,0,1,0,Low
104a610c3198decd4ce38c0583d7a56e5bccc958d37e7dbf06a25f4371cca78c,50-65,France,146.71,2025-05-08,Cheque,False,Website,Finance/Banking,Wildlife Rescue Van Drive,2025,5,3,0,1,1,High
08799ec4bb7dbb23489131c15aa5796088b3df5581dbcf0ed91a88f958fef3dc,30-49,Brazil,14.88,2025-05-27,Bank Transfer,False,Local event,Education,Marine Mammal Defense Mission,2025,5,1,0,1,0,Low
2064683c95d8f30206da55972058a202be8f705d6af136d7bae3664e9219b059,30-49,UK,196.43,2024-04-15,Credit Card,True,Online advertising,Law,Rescue Orphaned Gorillas,2024,4,0,0,1,1,High
cf0a2ec11237ee2eb62e56a67fd0e4aad3a082de96cdcfe8ca13837ce38f2f6b,66-80,India,15.77,2023-11-13,Cheque,True,Newsletter,Consulting,Wildlife Rescue Van Drive,2023,11,0,0,1,0,Low
